t,regime,actual_vol,true,static,qrc,static_err,qrc_err
50,stressed,0.2873806403170392,9.589423814793292,6.357414952484319,6.717279757259966,33.70389008485638,29.951164042854828
51,stressed,0.27593168192335144,10.914520505331915,8.042833280795996,8.432554909284832,26.31070437893313,22.740033287166426
52,stressed,0.31212152570443613,12.59243569296953,8.349264504762289,8.718218083334008,33.6961910440904,30.76622906082048
53,stressed,0.30523733438495515,16.13248015476389,12.208270478137763,12.682903459809822,24.324900071036602,21.382804515246313
54,stressed,0.29776662252701497,12.788060442307021,9.07959948794042,9.702721085457789,28.999401207847107,24.12671859637085
55,stressed,0.2992045837365235,9.248186776754615,5.64265721858191,6.112070389427501,38.98634018978974,33.910608241712474
56,stressed,0.35,14.4110292907855,8.731573918306943,9.223326873899389,39.41047691929983,35.99813942646803
57,stressed,0.30904642027000834,12.422422224766024,8.296348920861242,8.752984528495908,33.21472438506248,29.53882608300435
58,stressed,0.264939658871414,11.029058619386824,8.56662214294245,9.052903366369279,22.326805590786467,17.917714659199195
59,stressed,0.3225579909806032,15.355756190242246,10.725160822125524,11.274352173861026,30.155436897723188,26.578984231168846
60,stressed,0.2727183763561578,12.807188155870158,10.055059613542198,10.6159877623883,21.488936594302512,17.109145011487346
61,stressed,0.25794446811623156,13.404513682832992,11.233662824623067,11.616350457636983,16.194924408112684,13.340008205490431
62,stressed,0.35,15.362542631555094,9.675849238212578,10.131365053831281,37.01661586710189,34.05150894083657
63,stressed,0.28301106811191684,10.104106623749615,6.998780465445783,7.421028561046683,30.73330749504157,26.554332437430745
64,stressed,0.284895730376514,12.020273572197915,8.800543479661158,9.257481884849817,26.785830398933484,22.984432681617577
65,stressed,0.3020568892441808,9.918764215318383,6.160475006949625,6.686899187488599,37.89070015964807,32.583343627006904
66,stressed,0.31420777291905544,11.14956599870176,6.888003223732774,7.390937365958813,38.22178168607815,33.710985998742885
67,stressed,0.3464980321505262,12.58705904809009,7.10951529888677,7.566829331198477,43.51726426543189,39.88405629711702
68,stressed,0.2903381545138297,10.71730868739774,7.324241103340199,7.8012354354105895,31.659698185677698,27.209006822917214
69,stressed,0.26307407050698134,12.483014238470439,10.097260750232245,10.55132297939761,19.111998453752655,15.474557844528428
70,stressed,0.3392142826284728,14.302684486166122,9.0260757302729,9.533669677610902,36.89243624857191,33.34349445495996
71,stressed,0.3055390157559691,9.958039064970073,6.078823854449233,6.464347024546157,38.95561350192894,35.08413672239812
72,stressed,0.3234546861533193,13.764877113199404,9.083755032569805,9.473963442422907,34.007728816850694,31.17291665947281
73,stressed,0.26038630160747167,8.868669189234495,6.622545975459545,7.201958748784094,25.326496747691024,18.793241746727784
74,stressed,0.30890954019699557,13.686993539255155,9.556800780410619,9.95416041199202,30.176040830288148,27.272849340924544
75,stressed,0.3103934462849093,13.253696024492697,9.067031282645324,9.515810200941793,31.58865824378693,28.202592066721078
76,stressed,0.3069676109148301,11.51213329404063,7.489358716681309,7.964737194851203,34.943780397693544,30.814411270114217
77,stressed,0.27856945745920897,12.123810768788331,9.14299281989851,9.591678678755976,24.586477022255014,20.885612109280885
78,stressed,0.3142149876273536,16.43164337510329,12.166369184076757,12.60762946720238,25.957684777221633,23.272254762386932
79,stressed,0.31969660825901486,11.14319282348412,6.69136294146449,7.211063794744057,39.95111591928538,35.28727440175995
80,stressed,0.32361253811227353,11.643518200703866,7.023385665289837,7.459006698862531,39.679866993592505,35.93854906834238
81,stressed,0.2753795304494487,13.596425219461757,10.75569343718987,11.133004964010794,20.893225509052918,18.118146613455817
82,stressed,0.3123834278080949,14.632663468693103,10.38072732107792,10.812365746240765,29.05784142929475,26.108013285660174
83,stressed,0.35,15.796499324530366,10.113317168930472,10.580643948822605,35.977478546620056,33.01905864426598
84,stressed,0.2773879150692753,11.135879975442833,8.206462715499612,8.662948005918132,26.306113808726906,22.206884188569585
85,stressed,0.27552569145103684,9.988462302447708,7.156377999941498,7.6826654403153185,28.353556501006143,23.08460293800524
86,stressed,0.3102345592444993,12.668156048439087,8.4935028865727,8.993155599740092,32.9539133075391,29.00975039024572
87,stressed,0.3248154974710807,13.846515067239544,9.113729844810138,9.690741384068325,34.180334903379695,30.01313805669168
88,stressed,0.3436060223147195,14.086058359154286,8.649315316941731,9.119656470024353,38.59662443240774,35.257570020660566
89,stressed,0.35,13.838170792533937,8.17392852656561,8.70505720635095,40.932015877592264,37.09387362780953
90,stressed,0.2742852733075115,12.562482656819434,9.747374566096248,10.22400419051526,22.408851559249946,18.614779659295703
91,stressed,0.31447417245729553,11.145433460776431,6.874811876206344,7.3382831518172935,38.317231892321395,34.15883574521755
92,stressed,0.3214200148227627,12.834810017146218,8.243565601650673,8.633641949705279,35.77181438106238,32.732608132325566
93,stressed,0.2978151326202938,13.177859398547646,9.467967400948773,9.9747594370331,28.152463047281767,24.306678836378882
94,stressed,0.25455458325942404,9.272318445588759,7.2236075382885545,7.660495266773289,22.09491530432569,17.383173240585627
95,stressed,0.32569196382970417,12.610485329695265,7.870251967424949,8.33925625351538,37.58961878420317,33.87045751619062
96,stressed,0.26262783663864037,11.37860014189792,9.00235238916271,9.435249342420335,20.8834805960486,17.078997198625874
97,stressed,0.3115595213918651,13.159930473389267,8.929936085694607,9.563869403269031,32.14298431323891,27.32583638942349
98,stressed,0.3046117531783658,11.085004027640068,7.165260500253829,7.68116129097929,35.36077675400474,30.706734324799662
99,stressed,0.2657108910650813,11.220588364316818,8.728044771610698,9.219797781095203,22.214018657281724,17.831423079242747
