t,regime,mean_corr,true_price,static_price,qrc_price,static_err,qrc_err,static_quality,qrc_quality
43,calm,0.26774401226974376,8.992963463366074,9.171574782560427,8.903835842560433,1.9861230385506141,0.9910817626326763,0.9,0.95
44,calm,0.2982086980445024,9.16561439002703,8.981846120259327,9.064481222220579,2.0049749198227174,1.1033975847434048,0.9,0.9450000000000001
45,calm,0.3782321827907003,9.59923609437594,9.401426367827916,9.698303578542294,2.0606819605563924,1.0320350827124367,0.9,0.95
46,calm,0.3043523534119086,9.199895782531328,9.385243184997513,9.107392792583688,2.014668501116293,1.005478672087609,0.9,0.95
47,calm,0.2850496324767066,9.091590413143663,9.273417499433435,9.264315596478319,1.999948062188388,1.8998346327277111,0.9,0.905
48,calm,0.2890164056081244,9.113991556632605,8.931906388090283,9.022887211618539,1.9978641346207056,0.9996097148868495,0.9,0.95
49,calm,0.3178556285755873,9.274636736367,9.08732232196708,9.180919707562296,2.019641520464497,1.010465762364882,0.9,0.95
50,stressed,0.7595753198553407,11.379069332840501,12.653085806928765,11.557100034635312,11.196139480505625,1.5645453647163028,0.5,0.93
51,stressed,0.7749121478207732,11.44320492278036,10.166398964957153,11.648272899344484,11.157765385127622,1.7920501987680737,0.5,0.92
52,stressed,0.8457701058851037,11.73368167789323,13.06239142591835,11.86633177176985,11.323894618075983,1.1305070098035708,0.5,0.95
53,stressed,0.8164375554829842,11.61456963835085,12.924937738683646,11.745375698993456,11.282106364113666,1.1262239128575966,0.5,0.95
54,stressed,0.8048538774674021,11.567095730207946,12.870145297012087,11.411099918992988,11.265140335971921,1.3486169290323053,0.5,0.9400000000000001
55,stressed,0.8484322495266445,11.74441518412634,13.074776322443938,11.611662397487933,11.327606504542729,1.1303482085496568,0.5,0.95
56,stressed,0.7648973453061324,11.401377832862487,10.131116736860669,11.273949657887677,11.141294627922173,1.1176559258260903,0.5,0.95
57,stressed,0.7836168926701116,11.47940076654708,12.768918844011516,11.286465742986195,11.233322223772431,1.6807064017063544,0.5,0.925
58,stressed,0.8148060138532288,11.607898143796824,10.305358967654357,11.803975538389068,11.22114580957565,1.6891722529201065,0.5,0.925
59,stressed,0.8130527636089945,11.600723465745126,12.908957540074113,11.41800743884113,11.277176619130426,1.5750399312898407,0.5,0.93
60,stressed,0.7292314628974793,11.25077984998574,10.004116071521722,11.43853897029895,11.08068769531206,1.6688542733635288,0.5,0.925
61,stressed,0.7789677338617321,11.460087121072313,12.746622860469422,11.588497169175632,11.226230008596385,1.1204980097158634,0.5,0.95
